"year","TRTID10","hinc","powner","pwht","pblk","pop"
"1970",36005032300,12363.63565,"4.57","87.93","4.87",6900.97798206261
"1970",36005032400,7233.871204,"10.06","91.03","7.82",3722.99998298849
"1970",36005032600,11788.41767,"59.41","98.44","0.46",3075.99999313487
"1970",36005032800,9015.956696,"15.28","94.81","4.32",4025.99999250099
"1970",36005033000,8857.954303,"7.38","97.94","1.56",4423.99990935624
"1970",36005033201,9811.046777,"8.20","97.96","1.50",3441.39352977276
"1970",36005033202,9811.046852,"8.20","97.96","1.50",4310.60647022724
"1970",36005033500,14643.79727,"24.78","96.32","1.95",2221.70948938636
"1970",36005033600,7341.379431,"17.35","87.12","12.12",5792.0000269711
"1970",36005033700,14300.7459,"52.62","95.32","0.87",3002.31633870024
"1970",36005033800,7724.489904,"21.37","98.23","1.32",3109.00003166933
"1970",36005034000,7648.148034,"23.60","98.20","0.29",3843.00000894768
"1970",36005034200,9086.955952,"41.63","95.79","4.21",1471.99998697639
"1970",36005034300,10878.78826,"25.50","94.40","2.19",1533.02165018697
"1970",36005034400,10173.9131,"55.65","90.70","9.30",1450.99998893583
"1970",36005034500,13853.50281,"35.16","93.31","3.79",3855.99999231263
"1970",36005034800,9460.457718,"34.95","73.50","25.78",6116.99996672943
"1970",36005035000,10190,"60.04","95.14","4.13",1769.00000741379
"1970",36005035100,4425.925546,"13.08","96.20","1.37",4073.95249911498
"1970",36005035600,8970.587654,"66.86","48.75","50.34",1763.99998049112
"1970",36005035800,10419.35375,"66.51","55.87","41.62",5637.13263416814
"1970",36005035900,4252.065811,"1.76","47.72","46.71",2585.99989820746
"1970",36005036000,11653.06414,"57.49","98.89","1.07",2623.00001025153
"1970",36005036100,4897.058462,"1.20","58.60","39.78",4005.00002852827
"1970",36005036300,4659.090672,"2.49","56.27","39.93",12497.9999930889
"1970",36005036400,9464.286526,"57.66","36.12","62.60",2583.00002646167
"1970",36005036501,4284.482821,"1.18","47.62","49.85",4783.99998217821
"1970",36005036502,4809.090909,"5.22","43.78","52.61",3635.99998391513
"1970",36005036700,5574.468243,"4.19","41.95","51.41",6142.99983980879
"1970",36005036800,12409.09128,"58.31","54.91","43.18",1571.49685375625
"1970",36005036901,4553.571501,"2.42","48.86","43.18",4294.00011197478
"1970",36005036902,5558.510669,"3.33","44.29","50.73",3072.99997710437
"1970",36005037000,10198.01983,"50.97","87.16","11.20",2384.00008881092
"1970",36005037100,4299.17999,"4.35","51.29","43.31",8361.00001557358
"1970",36005037200,10043.47823,"49.47","96.18","3.53",1728.00003138185
"1970",36005037300,5294.797914,"10.90","61.18","35.60",8514.33277111501
"1970",36005037400,8109.154769,"6.10","81.18","17.73",3416.99985759077
"1970",36005037504,4470.27435,"4.23","59.80","36.11",6534.66738078627
"1970",36005037600,9166.666957,"24.60","94.73","4.20",1689.99995592982
"1970",36005037800,8622.222543,"25.74","89.34","9.97",2467.9999603508
"1970",36005037900,5588.028422,"6.55","59.85","38.90",4779.00007788884
"1970",36005038000,9431.371884,"27.45","50.71","47.70",3588.99999456841
"1970",36005038100,6168.539648,"4.53","87.05","12.02",5233.99996100366
"1970",36005038200,8816.272879,"47.75","39.32","57.41",2174.50316000637
"1970",36005038301,5831.196686,"2.01","78.95","18.94",4489.87887357362
"1970",36005038302,5831.196707,"2.01","78.95","18.94",4885.12111332966
"1970",36005038500,4681.102717,"4.84","64.99","33.21",7447.0000299096
"1970",36005038600,8104.166667,"23.84","62.80","36.59",6524.00000721519
"1970",36005038700,5434.21028,"6.97","78.00","20.02",4380.99995919876
"1970",36005038800,7782.609266,"50.65","17.90","81.45",2167.00003229082
"1970",36005038900,5575.269117,"9.38","94.26","3.88",4720.99996317702
"1970",36005039000,7476.190397,"38.21","41.05","58.64",2536.00001889467
"1970",36005039100,5250,"7.16","93.13","4.77",7505.99986368511
"1970",36005039200,8702.127671,"22.15","81.21","18.35",1373.00002813153
"1970",36005039300,5248.520661,"4.17","78.56","17.30",6862.00007668883
"1970",36005039400,8376.19052,"20.58","89.00","10.17",3765
"1970",36005039500,4419.221219,"6.29","58.00","39.08",10821.274455489
"1970",36005039600,7888.88875,"38.03","36.99","62.37",2990
"1970",36005039700,4815.217177,"10.07","97.29","2.35",1364.00000232231
"1970",36005039800,8625,"50.55","11.96","86.14",2634
"1970",36005039901,7649.350735,"3.50","97.24","1.83",4203.9999412708
"1970",36005039902,6408.256541,"3.09","88.29","9.67",4519
"1970",36005040100,8317.647166,"0.79","98.94","0.34",3192.9999762103
"1970",36005040302,8190.475986,"0.57","98.89","0.43",3234.00009638071
"1970",36005040303,8014.493174,"3.22","99.10","0.44",3483.50765646622
"1970",36005040304,8014.492822,"3.22","99.10","0.44",2863.49231988937
"1970",36005040400,8676.056641,"51.56","23.97","75.36",2686.99997998029
"1970",36005040501,8254.95001,"7.07","96.85","1.28",3543.49529284611
"1970",36005040502,8254.950072,"7.07","96.85","1.28",5898.50469616195
"1970",36005040600,7341.463608,"25.72","56.57","41.55",3036.99996605888
"1970",36005040701,7585.52659,"2.12","99.40","0.24",2514
"1970",36005040702,8658.536015,"4.71","98.73","0.43",6040.99992686044
"1970",36005040800,8814.286307,"13.31","88.08","9.18",3615.00001346692
"1970",36005040900,13870.5875,"77.95","98.10","1.39",1577.99995030824
"1970",36005041100,9336.734122,"4.30","98.10","0.56",2680.99996004999
"1970",36005041300,9048.223483,"3.22","99.02","0.12",6400.00003576279
"1970",36005041400,9045.454098,"40.01","96.64","2.87",4318.00006836466
"1970",36005041500,8463.114962,"3.89","98.60","0.83",5151.00004797243
"1970",36005041800,8619.028711,"23.91","99.22","0.65",3088.0000060536
"1970",36005041900,8111.842132,"4.75","98.86","0.36",5935.93492254987
"1970",36005042000,7580.459632,"9.77","92.72","6.17",3257.00002123322
"1970",36005042100,7681.45171,"0.82","97.13","0.90",4873.00000907667
"1970",36005042200,9839.080097,"44.57","80.87","19.09",2770.99997161236
"1970",36005042300,8370.494799,"5.41","97.67","1.44",3371.06505484134
"1970",36005042400,9090.908922,"59.35","52.38","45.90",2036.99998482317
"1970",36005042500,8629.167134,"6.84","98.51","0.76",5428.99998735962
"1970",36005042600,10583.33333,"64.96","76.80","22.26",5656.00001580268
"1970",36005042800,8632.978431,"62.46","95.42","3.26",1747.00003904849
"1970",36005042901,8308.009417,"5.67","99.84","0.16",2787.00137478579
"1970",36005042902,8250.000436,"8.02","98.55","1.24",3349.99862857163
"1970",36005043000,10879.12114,"65.18","95.29","4.26",2652.0000115775
"1970",36005043100,7993.902203,"4.62","94.37","3.88",7663.47518201004
"1970",36005043400,8622.866505,"27.85","99.39","0.39",3101.00001494278
"1970",36005043500,7993.902702,"4.62","94.37","3.88",645.524519866234
"1970",36005043600,10011.11165,"57.48","99.50","0.45",1996.00000185892
"1970",36005044200,9218.309204,"36.73","85.43","13.95",3219.00000946221
"1970",36005044400,9564.996369,"57.30","93.79","5.53",3703.99993091449
"1970",36005044800,13669.01401,"69.69","87.75","11.26",1829
"1970",36005044901,10900,"34.89","98.89","0.94",2342.99997381493
"1970",36005044902,11681.81863,"32.56","98.31","1.69",2541.9999786932
"1970",36005045101,9812.5,"29.48","99.28","0.24",2075.00002318993
"1970",36005045102,10986.11163,"29.61","99.32","0.57",2650.00000493601
"1970",36005045600,11272.95124,"62.92","93.77","5.10",2665.99997614278
"1970",36005045800,7627.192704,"1.15","46.08","52.37",8336.04636841978
"1970",36005046000,6402.159725,"32.52","41.75","56.45",1793.95401529325
"1970",36005046201,9922.727752,"94.71","86.61","12.91",11945.0003295242
"1970",36005046202,8803.836676,"40.69","47.11","50.95",6853.86731338955
"1970",36005048400,9625,"61.28","88.10","10.36",1756.99997686122
"1970",36005051600,10810.81024,"59.61","96.17","3.59",4930.00002410496
"1970",36047000100,8155.949606,"34.20","92.60","5.28",4757.7071808888
"1970",36047000200,4500,"13.46","90.18","6.31",1742.00003386685
"1970",36047000301,8268.558509,"7.47","96.53","2.35",5788.99998921715
"1970",36047000501,8531.358776,"4.29","94.34","3.81",3654.72698634863
"1970",36047000502,8531.358328,"4.29","94.34","3.81",2931.27303818613
"1970",36047000700,7848.684111,"13.86","93.91","4.32",3612.99995962158
"1970",36047000900,8762.711752,"8.43","88.74","6.74",1882.99998739542
"1970",36047001100,5600,"4.69","72.85","23.18",151.000002250075
"1970",36047001300,9922.619129,"0.17","73.29","23.52",2571.99998532841
"1970",36047001500,4211.871089,"2.36","29.67","67.96",3800.05305443513
"1970",36047001800,4236.725882,"17.85","91.83","7.49",476.695268744877
"1970",36047002000,3820.946163,"8.53","88.56","9.56",3722.99999609927
"1970",36047002100,5187.5,"16.20","89.84","5.54",432.999994253507
"1970",36047002200,4867.521371,"17.22","91.19","6.43",4067.33327113247
"1970",36047002300,5331.93274,"0.48","22.74","73.66",5231.99986356497
"1970",36047002901,4335.442831,"0.69","24.70","74.60",3566.99999003392
"1970",36047003000,10109.58923,"39.26","99.19","0.14",2087.00001554936
"1970",36047003100,6525.88284,"26.53","62.33","21.51",2312.94695001185
"1970",36047003300,2991.071631,"9.77","39.77","57.09",2003.99997200444
"1970",36047003400,10798.75518,"38.54","99.47","0.03",3657.94232352072
"1970",36047003500,4122.950396,"6.29","55.44","40.50",1355.81223650987
"1970",36047003600,9310.483132,"13.37","99.56","0.05",4121.99996928871
"1970",36047003700,6237.500127,"3.20","68.95","24.58",537.144545901629
"1970",36047003800,11637.09647,"34.05","99.84","0.05",1859
"1970",36047003900,4071.208418,"8.86","74.48","20.16",2425.85547476968
"1970",36047004100,5738.806034,"17.37","72.91","20.46",3333.00003104098
"1970",36047004300,4546.729109,"11.49","79.35","17.29",4252.00003167987
"1970",36047004400,13080.29409,"68.48","99.73","0.03",2965.99999055639
"1970",36047004500,8169.231152,"16.07","93.50","3.53",4186.99998440221
"1970",36047004600,12680.66557,"68.24","99.24","0.14",1443.99998924136
"1970",36047004700,6565.990632,"10.58","89.51","5.20",840.990561364697
"1970",36047004900,7393.51884,"12.08","90.60","5.72",3039.30217945576
"1970",36047005000,11144.22989,"33.27","99.58","0.08",2624.00002932549
"1970",36047005100,4660,"12.06","91.34","2.19",3612.99999663513
"1970",36047005201,12979.89611,"19.88","99.21","0.04",1489.97119444298
"1970",36047005202,11956.83466,"7.61","99.91","0.03",3173
"1970",36047005300,5259.346735,"17.66","85.33","12.54",3809.42829852208
"1970",36047005400,9712.120827,"12.22","99.41","0.22",3557.99998073943
"1970",36047005601,10326.73245,"11.37","99.24","0.07",3045.00002268702
"1970",36047005602,9333.333333,"9.72","99.45","0.00",1446
"1970",36047005800,7906.25,"19.99","98.66","0.06",3508.0000163354
"1970",36047005900,3464.112709,"12.59","74.85","23.31",2287.57178341353
"1970",36047006000,9522.058493,"29.70","97.97","0.13",3006.00004479289
"1970",36047006200,8283.018519,"23.90","99.33","0.07",2970
"1970",36047006300,6016.666541,"12.65","97.27","1.36",2493.00002626522
"1970",36047006400,8107.843338,"24.35","98.41","0.19",3717
"1970",36047006500,7696.970123,"19.92","97.96","1.39",8183.00005971778
"1970",36047006600,7852.173734,"15.44","98.56","0.47",4862.99998188391
"1970",36047006700,9024.390805,"21.17","96.68","1.98",5147
"1970",36047006800,8086.956472,"18.43","97.14","0.06",4678.00000871345
"1970",36047006900,5450,"16.41","86.35","10.71",4043.99997599004
"1970",36047007000,7858.094957,"21.23","98.47","0.12",1787.73079871299
"1970",36047007100,5689.393875,"9.53","45.80","51.40",6613.00012933556
"1970",36047007200,7635.135031,"12.32","93.59","0.77",1311.93616914654
"1970",36047007400,6207.07085,"22.10","96.65","0.85",4804
"1970",36047007500,6245.370501,"26.92","96.93","1.02",5996.99996439472
"1970",36047007600,5647.435993,"24.47","94.39","3.54",4066.99996969849
"1970",36047007700,6881.579231,"22.72","96.49","2.25",4421.46966577827
"1970",36047007800,5706.896595,"18.71","96.11","1.15",4680.99996512383
