Full Address,Name,Latitude,Longitude
"1116 Hoe Avenue, Bronx,  New York ","1116 Hoe Avenue , Bronx,  New York ",40.8265423,-73.8906363
"112 Bedford Avenue , Brooklyn, ,  New York ","112 Bedford Avenue , Brooklyn,  New York ",40.7200156,-73.9556758
"112-14 East 98 Street ,Manhattan,  New York ","112-14 East 98 Street , Manhattan,  New York ",40.7886715,-73.953936
"1120 College Ave, Bronx,  New York ","1120 College Ave , Bronx,  New York ",40.8307183,-73.9143402
"1125 Sterling Place , Brooklyn, ,  New York ","1125 Sterling Place , Brooklyn,  New York ",40.672287,-73.9413059
"114 Suffolk St ,Manhattan,  New York ","114 Suffolk St , Manhattan,  New York ",40.7188708,-73.9859354
"115 Linden St , Brooklyn, ,  New York ","115 Linden St , Brooklyn,  New York ",40.6933318,-73.9197979
"115-17 South 8 Street , Brooklyn, ,  New York ","115-17 South 8 Street , Brooklyn,  New York ",40.7097731,-73.9644153
"1151 Vyse Avenue, Bronx,  New York ","1151 Vyse Avenue , Bronx,  New York ",40.8277529,-73.8901732
"1152 Pacific Street , Brooklyn, ,  New York ","1152 Pacific Street , Brooklyn,  New York ",40.6778478,-73.9540751
"1155 Hoe Ave, Bronx,  New York ","1155 Hoe Ave , Bronx,  New York ",40.8276438,-73.8911629
"1158 Dekalb Avenue , Brooklyn, ,  New York ","1158 Dekalb Avenue , Brooklyn,  New York ",40.6946978,-73.928566
"116-20 Grove Street , Brooklyn, ,  New York ","116-20 Grove Street , Brooklyn,  New York ",40.6934314,-73.9202347
"1160 Colgate Avenue, Bronx,  New York ","1160 Colgate Avenue , Bronx,  New York ",40.8279115,-73.8816049
"1160 President Street , Brooklyn, ,  New York ","1160 President Street , Brooklyn,  New York ",40.6678195,-73.9520591
"1165 Fulton Avenue, Bronx,  New York ","1165 Fulton Avenue , Bronx,  New York ",40.8295051,-73.9056443
"117 East 101 St ,Manhattan,  New York ","117 East 101 St , Manhattan,  New York ",40.7896393,-73.9494504
"117-119 Grand Street , Brooklyn, ,  New York ","117-119 Grand Street , Brooklyn,  New York ",40.7154019,-73.9629608
"1175-77-85 Anderson Ave, Bronx,  New York ","1175-77-85 Anderson Ave , Bronx,  New York ",40.8363462,-73.9244089
"1185 Fulton Ave, Bronx,  New York ","1185 Fulton Ave , Bronx,  New York ",40.8299282,-73.9053688
"1185-9 Putnam Avenue , Brooklyn, ,  New York ","1185-9 Putnam Avenue , Brooklyn,  New York ",40.6905998,-73.9164372
"12 Bleecker Street , Brooklyn, ,  New York ","12 Bleecker Street , Brooklyn,  New York ",40.6928668,-73.9232721
"12 St. Marks Place , Brooklyn, ,  New York ","12 St. Marks Place , Brooklyn,  New York ",40.6824922,-73.9821503
"120 Bergen Street , Brooklyn, ,  New York ","120 Bergen Street , Brooklyn,  New York ",40.6860535,-73.9892126
"120-2 East 107 St Homesteaders ,Manhattan,  New York ","120-2 East 107 St Homesteaders , Manhattan,  New York ",40.7930868,-73.9465688
"1200 Woodycrest Ave, Bronx,  New York ","1200 Woodycrest Ave , Bronx,  New York ",40.8367163,-73.9245878
"1201 Shakespeare Avenue, Bronx,  New York ","1201 Shakespeare Avenue , Bronx,  New York ",40.8366149,-73.9235612
"121 East 101 St ,Manhattan,  New York ","121 East 101 St , Manhattan,  New York ",40.7895677,-73.9492912
"1211 Washington Avenue, Bronx,  New York ","1211 Washington Avenue , Bronx,  New York ",40.8312248,-73.9072406
"1212 Ocean Avenue , Brooklyn, ,  New York ","1212 Ocean Avenue , Brooklyn,  New York ",40.6326198,-73.9581623
"1218 Boston Road, Bronx,  New York ","1218 Boston Road , Bronx,  New York ",40.8299152,-73.9015145
"1225 Boston Road, Bronx,  New York ","1225 Boston Road , Bronx,  New York ",40.8302821,-73.9019817
"1228-30 Pacific Street , Brooklyn, ,  New York ","1228-30 Pacific Street , Brooklyn,  New York ",40.6775344,-73.9511477
"123 East 101 St ,Manhattan,  New York ","123 East 101 St , Manhattan,  New York ",40.7895337,-73.949208
