"year","TRTID10","hinc","powner","pwht","pblk","pop"
"1980",36047017900,10441.00033,"11.14","7.10","75.48",2886.999871
"1980",36047018000,13576,"33.40","96.60","0.11",2679
"1980",36047018100,7426.999972,"11.87","16.95","66.81",3816.999986
"1980",36047018200,14343.99977,"36.89","97.02","0.00",2651.999958
"1980",36047018300,7879.000096,"14.78","20.40","50.71",2506.563044
"1980",36047018400,15852.00012,"55.00","98.67","0.00",2109.000016
"1980",36047018501,5248.36536,"1.31","1.32","77.68",5066.436922
"1980",36047018600,14477,"50.72","97.53","0.00",1825
"1980",36047018700,9882,"24.80","15.20","37.92",1171
"1980",36047018800,15199,"45.16","97.85","0.00",2468
"1980",36047019000,12908.00005,"26.41","94.35","0.20",3484.000013
"1980",36047019100,7932.999991,"20.27","14.61","41.07",2210.999997
"1980",36047019200,14081.00028,"35.25","90.82","0.00",1972.000039
"1980",36047019300,16807.99969,"44.16","21.30","63.62",4064.999926
"1980",36047019400,12160.00015,"27.90","90.68","0.00",2436.00003
"1980",36047019500,13079.99976,"8.26","28.20","57.15",3857.999928
"1980",36047019600,11622.00017,"29.85","97.62","0.00",3577.000053
"1980",36047019700,13235.99998,"11.57","24.19","65.80",3525.999995
"1980",36047019800,15096,"47.16","99.07","0.00",1830
"1980",36047019900,7900,"14.27","10.96","82.84",2692
"1980",36047020000,17114.99987,"54.52","98.62","0.00",2029.999985
"1980",36047020100,10507.99988,"19.59","3.65","92.53",3424.99996
"1980",36047020200,20022,"61.93","99.29","0.00",1983
"1980",36047020300,8187.999908,"21.60","8.77","63.91",1002.999989
"1980",36047020400,21383.00032,"67.67","97.91","0.00",2012.00003
"1980",36047020500,7163.000102,"15.97","7.15","79.35",2673.000038
"1980",36047020600,17380,"53.21","96.80","0.00",2153
"1980",36047020700,10731,"9.75","16.80","70.64",5096
"1980",36047020800,17440,"41.19","96.90","0.04",2775
"1980",36047021000,14416,"33.17","93.12","0.03",3067
"1980",36047021100,9238.094436,"13.13","10.87","40.26",1555.000014
"1980",36047021200,13920.99982,"28.78","93.88","0.20",2957.999961
"1980",36047021300,9289.000053,"0.97","3.56","83.52",4690.000027
"1980",36047021400,14096.00015,"27.35","93.79","0.00",1482.000016
"1980",36047021500,10760.99974,"4.57","13.20","76.63",5929.999856
"1980",36047021600,15171.99989,"34.32","94.82","0.22",2739.99998
"1980",36047021700,9507.999858,"4.80","4.28","74.46",3480.999948
"1980",36047021800,12020.99991,"32.18","86.21","1.03",3575.999973
"1980",36047021900,8685,"16.16","1.36","92.92",3163
"1980",36047022000,11216.99996,"25.49","89.13","0.18",3788.999986
"1980",36047022100,8632.000032,"13.71","0.21","94.66",2830.000011
"1980",36047022200,13177.99978,"22.51","85.83","0.37",3740.999937
"1980",36047022400,11992.00002,"24.71","74.11","0.60",3688.000007
"1980",36047022600,7792.000029,"29.63","64.53","0.27",1469.000005
"1980",36047022700,6105.999963,"11.85","0.39","97.16",2848.999983
"1980",36047022800,9473,"28.53","50.84","3.50",2260
"1980",36047022900,6644.000012,"17.64","0.44","96.80",3374.000006
"1980",36047023000,9975.000074,"22.43","64.16","2.33",3608.000027
"1980",36047023100,7784,"15.83","1.51","92.82",2313
"1980",36047023200,10331,"23.81","85.01","0.90",5102
"1980",36047023300,8961.000067,"8.50","1.62","82.38",5183.000039
"1980",36047023400,13146.0001,"17.39","97.92","0.10",4082.00003
"1980",36047023500,7465.000056,"11.06","3.97","35.25",2040.000015
"1980",36047023600,11042.00008,"13.16","97.07","0.38",4471.000033
