"Address","Type","Neighborhood","Year Built"
"1241 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"125 EAST 101 STREET","Income-restricted, HDFC",NA,NA
"125 SCHENECTADY AVENUE","Income-restricted, HDFC","CROWN HEIGHTS",1910
"127 GUERNSEY STREET","Income-restricted, HDFC",NA,NA
"127 WEST 111 STREET","Income-restricted, HDFC",NA,NA
"127 WEST 133 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"127 WEST 170 STREET","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"128 29 STREET","Income-restricted, HDFC",NA,NA
"128 RALPH AVENUE","Income-restricted, HDFC",NA,NA
"128 RIVINGTON STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"128 WEST 138 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"128 WEST 96 STREET","Limited-equity, Mitchell Lama",NA,NA
"1285 DEAN STREET","Income-restricted, HDFC",NA,NA
"129 BEDFORD AVENUE","Income-restricted, HDFC",NA,NA
"129 EAST 102 STREET","Income-restricted, HDFC",NA,NA
"129 MAC DONOUGH STREET","Income-restricted, HDFC",NA,NA
"1290 LAFAYETTE AVENUE","Income-restricted, HDFC",NA,NA
"13 EAST 3 STREET","Income-restricted, HDFC",NA,NA
"13 FRONT SCHOLES STREET","Income-restricted, HDFC",NA,NA
"13 MOORE STREET","Limited-equity, Mitchell Lama",NA,NA
"13 REAR STANTON STREET","Income-restricted, HDFC",NA,NA
"13 WEST 106 STREET","Income-restricted, HDFC","MANHATTAN VALLEY",NA
"130 WEST 26 STREET","Income-restricted, HDFC",NA,NA
"1303 DEAN STREET","Income-restricted, HDFC",NA,NA
"1304 PACIFIC STREET","Income-restricted, HDFC","CROWN HEIGHTS",1945
"131 EAST 101 ST","Income-restricted, HDFC",NA,NA
"1312 PACIFIC STREET","Income-restricted, HDFC",NA,NA
"1314 OAKLEY STREET","Income-restricted, HDFC",NA,NA
"1316 STERLING PLACE","Income-restricted, HDFC",NA,NA
"132 SOUTH 8 STREET","Income-restricted, HDFC",NA,NA
"132 WEST 113 STREET","Income-restricted, HDFC",NA,NA
"132 WEST 169 STREET","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"133 MAC DONOUGH STREET","Income-restricted, HDFC",NA,NA
"133 WEST 89 STREET","Income-restricted, HDFC","UPPER WEST SIDE (79-96)",NA
"1338 FRANKLIN AVENUE","Income-restricted, HDFC",NA,NA
"134 ELDRIDGE STREET","Income-restricted, HDFC",NA,NA
"134 WEST 20 STREET","Income-restricted, HDFC","CHELSEA",NA
"1342 FRANKLIN AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"1346 EASTERN PARKWAY","Income-restricted, HDFC","CROWN HEIGHTS",1915
"1346 PARK PLACE","Income-restricted, HDFC","CROWN HEIGHTS",1923
"1347 BRISTOW STREET","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"135 WEST 115 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"135 WEST 89 STREET","Income-restricted, HDFC",NA,NA
"1351 PARK AVENUE","Income-restricted, HDFC",NA,NA
"136 CAMBRIDGE PLACE","Income-restricted, HDFC",NA,NA
"136 SOUTH 8 STREET","Income-restricted, HDFC",NA,NA
"136 WEST 133 STREET","Income-restricted, HDFC",NA,NA
"136 WEST 168 STREET","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"137 WEST 116 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"137 WEST 23 STREET","Income-restricted, HDFC",NA,NA
"1371 LINDEN BOULEVARD","Limited-equity, Mitchell Lama","BROWNSVILLE",1962
"1372 FRANKLIN AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"1372 SHAKESPEARE AVENUE","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"1383 LINDEN BOULEVARD","Limited-equity, Mitchell Lama",NA,NA
"1383 PLIMPTON AVENUE","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"1384 PACIFIC STREET","Income-restricted, HDFC","CROWN HEIGHTS",1905
"1387 DEAN STREET","Income-restricted, HDFC",NA,NA
"139 8 AVENUE","Income-restricted, HDFC","CHELSEA",NA
"139 NORFOLK STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"139 WEST 116 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"14 EAST 96 STREET","Income-restricted, HDFC","FLATBUSH-NORTH",1927
"14 MORNINGSIDE AVENUE","Income-restricted, HDFC","MANHATTAN VALLEY",NA
"14 WEST 119 STREET","Income-restricted, HDFC",NA,NA
"1405 PROSPECT PLACE","Income-restricted, HDFC","CROWN HEIGHTS",1910
"1409 PROSPECT AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"141 MAC DONOUGH STREET","Income-restricted, HDFC",NA,NA
"141 MANHATTAN AVENUE","Income-restricted, HDFC",NA,NA
"14-15 MOTT AVENUE","Income-restricted, HDFC",NA,NA
"1421 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"143 MANHATTAN AVENUE","Income-restricted, HDFC",NA,NA
"143 WADSWORTH AVENUE","Income-restricted, HDFC","WASHINGTON HEIGHTS UPPER",NA
"145 MORNINGSIDE AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"145 WADSWORTH AVENUE","Income-restricted, HDFC","WASHINGTON HEIGHTS UPPER",NA
"1463 AMSTERDAM AVENUE","Income-restricted, HDFC","HARLEM-WEST",NA
"147 WEST 105 STREET","Income-restricted, HDFC",NA,NA
"1477 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"1486 5 AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"1493 EASTERN PARKWAY EXTENSION","Income-restricted, HDFC",NA,NA
"15 EAST 126 STREET","Income-restricted, HDFC",NA,NA
"15 EAST 131 STREET","Income-restricted, HDFC",NA,NA
"15 FT WASHINGTON AVENUE","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"15 STRONG PLACE","Income-restricted, HDFC",NA,NA
"15 WEST 106 STREET","Income-restricted, HDFC","MANHATTAN VALLEY",NA
"15 WEST 108 STREET","Income-restricted, HDFC",NA,NA
"150 PERRY STREET","Income-restricted, HDFC",NA,NA
"1500 BOSTON ROAD","Income-restricted, HDFC","CROTONA PARK",NA
"151 1 AVENUE","Income-restricted, HDFC",NA,NA
"151 GRAND STREET","Income-restricted, HDFC",NA,NA
"151 SOUTH 4 STREET","Income-restricted, HDFC",NA,NA
"151 WEST 106 STREET","Income-restricted, HDFC",NA,NA
"1511 LEXINGTON AVENUE","Income-restricted, HDFC",NA,NA
"1513 LEXINGTON AVENUE","Income-restricted, HDFC",NA,NA
"1513 WEST 7 STREET","Income-restricted, HDFC","GRAVESEND",1927
"1516 BEDFORD AVENUE","Income-restricted, HDFC","CROWN HEIGHTS",1931
"1517 LEXINGTON AVENUE","Income-restricted, HDFC",NA,NA
"152 FORSYTH STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"152 SOUTH 8 STREET","Income-restricted, HDFC",NA,NA
"152 WEST 144 STREET","Income-restricted, HDFC",NA,NA
"153 SOUTH 4 STREET","Income-restricted, HDFC",NA,NA
"153 WEST 106 STREET","Income-restricted, HDFC","UPPER WEST SIDE (96-116)",NA
"153.5 STANTON STREET","Income-restricted, HDFC",NA,NA
"1532 YORK AVENUE","Limited-equity, Mitchell Lama",NA,NA
"154 EAST 97 STREET","Income-restricted, HDFC","HARLEM-EAST",NA
"154 PATCHEN AVENUE","Income-restricted, HDFC",NA,NA
"154 SOUTH 3 STREET","Income-restricted, HDFC","WILLIAMSBURG-SOUTH",1915
"1549 SEABURY PLACE","Income-restricted, HDFC",NA,NA
"155 AVENUE C","Income-restricted, HDFC",NA,NA
"155 EAST 2 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"155 EAST 4 STREET","Limited-equity, Mitchell Lama",NA,NA
"155 WEST 106 STREET","Income-restricted, HDFC","UPPER WEST SIDE (96-116)",NA
"1551 PARK PLACE","Income-restricted, HDFC","CROWN HEIGHTS",1910
"156 EAST 97 STREET","Income-restricted, HDFC","HARLEM-EAST",NA
"156 NASSAU AVENUE","Income-restricted, HDFC",NA,NA
"156 ST MARKS AVENUE","Income-restricted, HDFC",NA,NA
"156-10 RIVERSIDE DRIVE WEST","Limited-equity, Mitchell Lama",NA,NA
"156-11 AGUILAR AVENUE","Limited-equity, Mitchell Lama",NA,NA
"157 BROOME STREET","Income-restricted, HDFC",NA,NA
"157 EAST 2 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"157 WEST 105 STREET","Income-restricted, HDFC","UPPER WEST SIDE (96-116)",NA
"158 SOUTH 8 STREET","Income-restricted, HDFC",NA,NA
"1581 BRUCKNER BOULEVARD","Limited-equity, Mitchell Lama",NA,NA
"159 HAWTHORNE AVENUE YONKERS","Limited-equity",NA,NA
"16 2 AVENUE","Income-restricted, HDFC",NA,NA
"16 EAST 132 STREET","Income-restricted, HDFC",NA,NA
"16 MAUJER STREET","Income-restricted, HDFC","WILLIAMSBURG-EAST",1920
"16 MORNINGSIDE AVENUE","Income-restricted, HDFC",NA,NA
"16 WEST 119 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"160 BLEECKER STREET","Income-restricted, HDFC",NA,NA
"160 LOWNDES AVE HUNTINGTON STA","Limited-equity",NA,NA
"1600 NELSON AVENUE","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"1608 AMSTERDAM AVENUE","Income-restricted, HDFC","HARLEM-WEST",NA
"161 S ELLIOTT PL","Limited-equity",NA,NA
"161 WEST 105 STREET","Income-restricted, HDFC","UPPER WEST SIDE (96-116)",NA
"161-04 HARRY VAN ARSDALE JR. AVE. FLUSHING","Limited-equity",NA,NA
"1611 LINCOLN PLACE","Income-restricted, HDFC",NA,NA
"161-29 HARRY VAN ARSDALE JR. AVE. FLUSHING","Limited-equity",NA,NA
"162 AVENUE C","Limited-equity, Mitchell Lama","ALPHABET CITY",NA
"162 EAST 2 STREET","Income-restricted, HDFC",NA,NA
"162 LENOX AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"163 AVENUE C","Income-restricted, HDFC",NA,NA
"163 LEFFERTS PLACE","Income-restricted, HDFC","BEDFORD STUYVESANT",1930
"163 LENOX AVENUE","Income-restricted, HDFC",NA,NA
"1638 FIRST AVENUE","Limited-equity, Mitchell Lama",NA,NA
"164 BLEECKER STREET","Income-restricted, HDFC",NA,NA
"164 RALPH AVENUE","Income-restricted, HDFC",NA,NA
"1646 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"165 AVENUE C","Income-restricted, HDFC",NA,NA
"1661 LEXINGTON AVENUE","Income-restricted, HDFC",NA,NA
"167 AVENUE C","Income-restricted, HDFC",NA,NA
"167 FRONT ALLEN STREET","Income-restricted, HDFC",NA,NA
"167 WEST 133 STREET","Income-restricted, HDFC",NA,NA
"1670 LONGFELLOW AVENUE","Income-restricted, HDFC","CROTONA PARK",NA
"168 BANK STREET","Income-restricted, HDFC",NA,NA
"168 NORFOLK STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"1681 ST NICHOLAS AVENUE","Limited-equity, Mitchell Lama",NA,NA
"1682-1700 STERLING PLACE","Income-restricted, HDFC",NA,NA
"169 ALLEN STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"169 AVENUE C","Income-restricted, HDFC",NA,NA
"169-55 137 AVENUE","Limited-equity, Mitchell Lama",NA,NA
"17 CLINTON STREET","Income-restricted, HDFC",NA,NA
"17 CROWN STREET","Income-restricted, HDFC",NA,NA
"17 EAST 131 STREET","Income-restricted, HDFC",NA,NA
"17 PENNSYLVANIA AVENUE","Income-restricted, HDFC",NA,NA
"17 WEST 106 STREET","Income-restricted, HDFC","MANHATTAN VALLEY",NA
"1711 DAVIDSON AVENUE","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"1713 NELSON AVENUE","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"1714 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
