year,TRTID10,hinc,prent,powner,pwht,pblk,pop,punemp,mrent,pcol,phs,str30old,hh10old,fhh,pov,pfb,pfb10,p18und,p60up
1970,36005006700,5054.511359,0.9821947674418605,0.017805232558139535,0.5928866652164448,0.3700239258922258,9194.00006850064,0.07805056797361672,76.07859901,0.002827931238447346,0.4394170078202799,1591,1846,495,2844,986,299,3808,804
1970,36005006800,9697.917342,0.773851590106007,0.22614840989399293,0.864803625377645,0.1042296070808803,2648.00000431575,0.04905968928863451,93.08510512,0.032477341336796035,0.5336102710336372,410,667,25,176,571,184,698,435
1970,36005006900,4011.152227,0.9769601100412655,0.023039889958734527,0.6180136319376809,0.3576436160021432,10270.0001779928,0.0967741935483871,74.78390641,0.002921129452780914,0.4151898662219273,1937,2465,604,4239,844,287,4754,967
1970,36005007000,9065.217452,0.6714015151515151,0.32859848484848486,0.9421912832929763,0.03753026602925059,3304.00002769381,0.036544850498338874,90.94203434,0.02663438234333913,0.5680992688459948,874,648,53,251,553,196,908,620
1970,36005007100,4510.714512,0.9937802349689012,0.006219765031098825,0.6534069981583797,0.3009208056888787,5430.00008344185,0.08052147239263803,72.59842772,0.0020257826576362704,0.36335174395603287,1391,1278,414,2025,152,130,2735,230
1970,36005007200,9780.769835,0.7786396181384249,0.22136038186157517,0.954495005549388,0.017314095554313094,4504.99997272855,0.03381424706943192,88.29787476,0.04750277498234618,0.6011098815523058,1207,988,48,356,936,40,920,1096
1970,36005007300,4779.329469,0.9921094160967912,0.007890583903208837,0.6368282228816358,0.33382788648097755,6066.0001216387,0.0764857881136951,80.05969976,0.0069238376455313866,0.480217596700784,1113,1453,385,2086,531,267,2440,509
1970,36005007400,10386.36346,0.13315579227696406,0.8668442077230359,0.7560102301790247,0.2046035843736983,1954.99996358529,0.03213242453748783,125.7692383,0.043989770640345136,0.6281330040272538,5,744,13,106,160,22,461,362
1970,36005007500,5186.363886,0.9712713936430318,0.028728606356968216,0.5118995345569524,0.44445420671359204,11386.9998833453,0.05950317735413056,78.24253166,0.007289013862325259,0.4257486651150947,2284,2453,654,3497,829,550,4913,704
1970,36005007600,7662.723744,0.7857618097139055,0.21423819028609448,0.8766324627391526,0.09165111880232271,4288.00002810266,0.05364583333333333,86.42688267,0.025419775952807065,0.5722947723687022,1164,1031,91,625,883,281,1086,843
1970,36005007700,4367.132919,0.9547169235517359,0.045283018867924525,0.6075845012366025,0.3778510708273569,3638.99987629848,0.09354536950420954,72.3571406,0,0.43858204293851755,778,847,220,1443,174,23,1536,249.999984741211
1970,36005007800,8708.332884,0.7454942654287274,0.2545057345712725,0.9571591774562073,0.027608530157700917,5251.99998593749,0.030595138306789605,88.39868933,0.027798933813960924,0.5624524005920587,1384,1091,73,416,1207,451,1314,1150
1970,36005007900,4681.494618,0.9712595097210481,0.028740490278951817,0.7014871671863754,0.27224754441943233,8337.99990681559,0.04791666666666667,74.03333061,0.004797313558051671,0.4605421015729604,1290,2030,315,2527,765,487,3548,767
1970,36005008300,4381.118665,0.9846711259754738,0.015328874024526198,0.7871555118110233,0.18118438202091192,12192.0000794828,0.05783637998201978,75.30150545,0.0033628608704650924,0.4174048529218745,3074,2969,871,4608,711,455,5376,728
1970,36005008400,12088.2355,0.266318534709768,0.7336814652902319,0.5744416873449139,0.39950372604976475,745.435042854498,0.027465669672468163,147.8571525,0.016749379895247385,0.5155086717260857,12.94800282,155.8384705,13.41043186,103.5840225,94.79788208,0,277.457214355469,51.3295860290527
1970,36005008500,3815.140978,0.9479717534759095,0.0520282195971974,0.6268958543983817,0.35477756288283635,7907.46142394748,0.07657200615833594,76.17220089,0.0018958544526817497,0.4220171984518004,1752.993896,1793.970337,619.6443481,3410.042725,367.7889099,157.9093628,3533.9716796875,460.735565185547
