year,county,TRTID10,hinc,prent,powner,pwht,pblk,phisp,pop,punemp,ohu,multi,mrent,pcol,phs,str30old,hh10old,fhh,pov,ppov,pfb,pfb10,p18und,p60up,ncoops
2010,Kings County,36047034700,28555,0.842,0.07733333333333334,0.0161090458488228,0.8379801734820322,0.13073110285006195,3228,0.13838748495788206,1500,1400,709,0.06753407682775713,0.42038413878562575,1133,942,325,1226,0.3774630541871921,32.8966521106259,419,863,404,2
2010,Kings County,36047034800,42216,0.7178899082568807,0.15022935779816513,0.2664564446196295,0.047299960583366184,0.5132045723295231,2537,0.17582417582417584,872,714,1135,0.08277493102089081,0.38943634213638156,496,537,90,650,0.30092592592592593,49.8148148148148,331,752,201,0
2010,Kings County,36047034900,34661,0.8517274472168906,0.09788867562380038,0.03720155469183787,0.8495280399777901,0.10383120488617435,5403,0.13297872340425532,2084,2079,861,0.07680918008513789,0.41384416065148993,1903,1133,449,1820,0.30511316010058676,54.4844928751048,901,1318,791,0
2010,Kings County,36047035000,33112,0.7565162110616656,0.23140495867768596,0.9678398058252428,0.009101941747572815,0.009101941747572815,3296,0.07579273008507348,1573,1475,922,0.2466626213592233,0.345873786407767,1448,382,97,387,0.13358646876078703,66.3790127718329,216,386,1213,0
2010,Kings County,36047035100,26918,0.8416856492027335,0.08599088838268792,0.1629323471829454,0.6958886230150098,0.12399390907113335,4597,0.16735537190082644,1756,1744,930,0.06417228627365673,0.406351968675223,1734,819,314,1279,0.297303579730358,61.7154811715481,739,1220,738,2
2010,Kings County,36047035200,9675,0.9561068702290076,0.01717557251908397,0.6115569823434992,0.18780096308186195,0.16131621187800962,1246,0.45535714285714285,524,476,267,0.13001605136436598,0.5626003210272873,474,248,20,380,0.5128205128205128,46.2910798122066,120,75,829,0
2010,Kings County,36047035300,36621,0.8401394422310757,0.08715139442231076,0.1336950203448944,0.7250532842472389,0.1302073241619841,5161,0.0909466721785862,2008,2041,939,0.14105793450881612,0.31331137376477425,1761,985,425,1206,0.25251256281407036,48.5564853556485,885,1381,720,2
2010,Kings County,36047035400,42089,0.47606382978723405,0.5002955082742316,0.9441875298995376,0.022006059639610907,0.0237601658427683,6271,0.09616232906925452,3384,2716,824,0.2634348588741827,0.3085632275554138,2688,934,118,482,0.09423264907135875,55.9335288367546,203,646,2759,0
2010,Kings County,36047035500,27976,0.8983134920634921,0.06994047619047619,0.14867694650675806,0.7569008185798591,0.08261945554920998,5253,0.06790402897238569,2016,1910,916,0.09137635636778983,0.3177232057871692,1960,1059,346,1188,0.25786846103755157,39.0492728456696,431,1300,827,1
2010,Kings County,36047035601,42324,0.7190938511326861,0.26990291262135924,0.9175824175824175,0.042925824175824176,0.03021978021978022,2912,0.056140350877192984,1545,1454,875,0.36229395604395603,0.20501373626373626,1447,392,60,276,0.10777040218664584,55.2128074970715,97,253,1312,0
2010,Kings County,36047035602,41433,0.5381968341362698,0.4239504473503097,0.9483968886359324,0.01384936444697401,0.02504268639726807,5271,0.028488652824722356,2906,2869,1010,0.3591348890153671,0.2743312464428002,2843,1150,110,675,0.13778322106552357,60.8083282302511,390,553,2347,0
2010,Kings County,36047035700,16058,0.898068669527897,0.06330472103004292,0.0111731843575419,0.7948922585794094,0.18555466879489227,2506,0.11302211302211303,932,914,961,0.04110135674381484,0.3647246608140463,635,500,295,955,0.472071181413742,38.3980582524272,223,814,235,1
2010,Kings County,36047035900,30265,0.8509205208801077,0.06511001347103727,0.015655233069481092,0.8510114335971856,0.12401055408970976,5685,0.28215942640236186,2227,2281,911,0.0733509234828496,0.3459982409850484,1684,1555,633,2461,0.46486588590857575,30.2519451648759,576,1755,566,3
2010,Kings County,36047036001,26339,0.7106951871657754,0.25080213903743315,0.9390736711221636,0.0052844264843021444,0.03978862294062791,3217,0.05963636363636363,1870,1685,802,0.3422443270127448,0.2567609574137395,1603,983,49,850,0.2838063439065108,75.3589315525876,369,256,1555,0
2010,Kings County,36047036002,14817,0.928795342588446,0.04657411553963278,0.9162849872773536,0.0071246819338422395,0.04961832061068702,3930,0.02871205906480722,2233,2092,788,0.28880407124681934,0.2916030534351145,1998,1105,63,1319,0.36376172090457803,86.2458654906284,994,307,2137,0
2010,Kings County,36047036100,14618,0.9041591320072333,0.045207956600361664,0.016104294478527608,0.7741564417177914,0.17868098159509202,2608,0.23840206185567012,1106,1030,727,0.046012269938650305,0.36579754601226994,677,703,238,1139,0.5246430216490097,36.4344637946838,314,697,457,1
2010,Kings County,36047036200,26647,0.691711389385808,0.16338700059630293,0.35704091341579447,0.02021883920076118,0.3905803996194101,4204,0.1672331747110809,1677,1223,879,0.08777354900095148,0.3670313986679353,1301,850,99,1441,0.4447530864197531,64.6427476234284,1016,892,567,0
2010,Kings County,36047036300,35959,0.7290098436595251,0.16097278517660682,0.005355404089581304,0.8429892891918208,0.14216163583252192,4108,0.06069364161849711,1727,1770,1001,0.06888997078870497,0.39094449853943525,1025,1147,387,769,0.18820362212432698,28.218306412139,432,1188,545,0
2010,Kings County,36047036400,37227,0.6042240587695134,0.21212121212121213,0.516008316008316,0.02203742203742204,0.19501039501039502,2405,0.05243790248390064,1089,790,970,0.14261954261954263,0.3837837837837838,833,574,53,628,0.2811101163831692,70.5026455026455,740,456,483,0
2010,Kings County,36047036501,31382,0.826955074875208,0.07653910149750416,0.004954268292682927,0.8769054878048781,0.11471036585365854,2624,0.14527629233511585,1202,1188,875,0.07964939024390244,0.33727134146341464,1086,533,258,686,0.2689141513132105,26.577812622501,350,704,432,1
2010,Kings County,36047036502,51699,0.6237623762376238,0.14455445544554454,0.03824701195219123,0.6143426294820717,0.3298804780876494,1255,0.09572301425661914,505,392,1041,0.14820717131474104,0.301195219123506,201,298,100,229,0.2168560606060606,20.3720930232558,8,299,139,0
2010,Kings County,36047036600,46632,0.6630103595368677,0.24192565508836075,0.4187119781833438,0.01867002307530942,0.2599118942731278,4767,0.10423825887743414,1641,1240,943,0.1816656177889658,0.2745961820851689,1277,761,91,1051,0.2635406218655968,67.8901373283396,789,1061,1049,0
2010,Kings County,36047036700,55515,0.6164122137404581,0.2385496183206107,0.013793103448275862,0.5777777777777777,0.3846743295019157,1305,0.09292035398230089,524,461,1068,0.10268199233716475,0.3693486590038314,517,315,120,190,0.13970588235294118,25.0735294117647,61,375,171,0
2010,Kings County,36047036900,26473,0.7317196167423097,0.14473020675743822,0.017875279301239083,0.7056672760511883,0.26020719073735527,4923,0.12370113805047006,1983,1862,837,0.06987609181393459,0.3221612837700589,1616,1154,495,1813,0.37358335050484237,20.0452302631579,261,1464,521,0
2010,Kings County,36047037000,61786,0.33532934131736525,0.5171475231355471,0.7184822521419829,0.004406364749082008,0.05924112607099143,4085,0.0740566037735849,1837,1377,1047,0.3040391676866585,0.22619339045287637,1658,747,57,520,0.1360188333769291,59.53125,242,802,981,0
2010,Kings County,36047037100,43598,0.5961084905660378,0.27240566037735847,0.009223300970873786,0.85,0.12815533980582525,4120,0.1337878142309331,1696,1603,1024,0.12184466019417475,0.38859223300970874,1372,1043,374,862,0.18965896589658965,37.4671916010499,311,1223,462,0
2010,Kings County,36047037300,33162,0.720901889092017,0.16940889701401585,0.016913319238900635,0.797568710359408,0.17124735729386892,3784,0.1251604621309371,1641,1578,766,0.10332980972515857,0.3308668076109937,1457,936,356,996,0.27065217391304347,19.4565217391304,271,1025,571,1
2010,Kings County,36047037401,47665,0.6417322834645669,0.3021653543307087,0.8188793303882818,0.019065333643338758,0.04859335038363171,4301,0.08464125560538116,2032,1588,1030,0.3124854684956987,0.2557544757033248,1780,762,79,518,0.13747346072186836,62.7388535031847,335,733,1206,0
2010,Kings County,36047037402,29528,0.7832817337461301,0.18133569217160547,0.7769516728624535,0.03170785042641592,0.06844522195495298,4573,0.09821428571428571,2261,1869,850,0.2317953203586267,0.40148698884758366,1954,925,101,334,0.08013435700575816,61.4203454894434,767,661,1492,0
2010,Kings County,36047037500,43389,0.7235901509134234,0.1596505162827641,0.03917525773195876,0.7185567010309278,0.1920962199312715,2910,0.185,1259,1022,1087,0.09072164948453608,0.3353951890034364,1007,647,239,610,0.20333333333333334,31.5998675057966,309,758,316,4
2010,Kings County,36047037700,50246,0.6039603960396039,0.25334886429819453,0.03087431693989071,0.8431693989071039,0.10327868852459017,3660,0.08001788109074653,1717,1613,1085,0.24207650273224043,0.30027322404371587,1778,930,286,671,0.17565445026178012,19.2327766179541,223,842,565,0
2010,Kings County,36047037900,45444,0.648786717752235,0.24010217113665389,0.008094981111710739,0.8486238532110092,0.1362655153804641,3706,0.11000523834468308,1566,1561,1115,0.11845655693470049,0.34943335132218023,933,1078,313,1158,0.2903711133400201,28.5857572718154,381,1002,435,1
2010,Kings County,36047038100,27313,0.7447418738049714,0.1338432122370937,0.015746378332983414,0.8391769892924628,0.13184967457484778,4763,0.20210409745293467,2092,2040,605,0.07894184337602352,0.3613268948141927,2034,917,501,1588,0.35312430509228376,14.4540804981098,195,1295,752,0
2010,Kings County,36047038200,18266,0.9021842355175689,0.054605887939221276,0.060743732121824,0.36951034830893487,0.33148241628807,5943,0.22274476271911073,2106,2156,419,0.053340063940770656,0.4519602894161198,2137,1137,589,2685,0.4744654532602933,29.8285916239618,474,1708,912,0
2010,Kings County,36047038300,51125,0.5636754433100484,0.27619559376679204,0.02442126685321801,0.8560162808445688,0.09972017298397354,3931,0.0879848628192999,1861,1686,1111,0.23301958789112184,0.2933095904350038,1749,942,308,518,0.13143872113676733,24.700415749572,188,971,624,2
2010,Kings County,36047038500,40230,0.6504672897196262,0.19376947040498443,0.016072472238457043,0.8021624780829923,0.15312682641729983,3422,0.13702074167190445,1605,1509,881,0.08737580362361193,0.36499123319696086,1472,769,284,784,0.25579119086460034,17.2593800978793,146,906,512,1
2010,Kings County,36047038600,43375,0.44657332350773765,0.4112011790714812,0.5191256830601093,0.010641357492090883,0.16105838366407824,3477,0.1202223766504517,1357,866,1100,0.1187805579522577,0.4463618061547311,1146,706,72,683,0.20728376327769346,47.01062215478,363,742,636,0
2010,Kings County,36047038700,29005,0.6994468346650277,0.18869084204056547,0.040897755610972565,0.728927680798005,0.2059850374064838,4010,0.23102094240837695,1627,1441,989,0.10174563591022444,0.35835411471321693,1363,998,301,1330,0.3659878921298844,23.1170973062122,288,994,498,5
2010,Kings County,36047038800,42721,0.5793650793650794,0.3125763125763126,0.8180161416297839,0.01249674563915647,0.07263733402759698,3841,0.10855949895615867,1638,1136,1016,0.1507419942723249,0.3946888831033585,1388,639,68,829,0.21029934043632673,40.1666245897501,348,912,843,0
