Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles
3-00235-0015,149 WILLOW STREET,BROOKLYN HEIGHTS,D4    -ELEVATOR,       20,1900,"14,925","        475,809",     31.88,"        149,549",10.02,"        326,261","      2,605,000",    174.54,3-00235-0042,36 CLARK STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       29,1920,"24,570","741,031",     30.16,"322,113",13.11,"418,919","3,806,000",    154.90,0.09,3-00247-0001,222 HICKS STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       14,1900,"    11,800","376,184",     31.88,"118,236",10.02,"257,948","3,103,000",    262.97,0.14,3-00242-0018,191 HICKS STREET,BROOKLYN HEIGHTS,D9    -ELEVATOR,       19,1920,"    24,528","791,519",     32.27,"314,940",12.84,"476,579","3,780,000",    154.11,0.08
3-00235-0028,115 WILLOW STREET,BROOKLYN HEIGHTS,D4    -ELEVATOR,       39,1927,"49,158","      1,939,775",     39.46,"        678,872",13.81,"      1,260,903","     10,106,000",    205.58,3-00235-0042,36 CLARK STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       29,1920,"24,570","969,532",     39.46,"494,840",20.14,"474,692","3,806,000",    154.90,0.04,3-00247-0001,222 HICKS STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       14,1900,"    11,800","516,604",     43.78,"129,092",10.94,"387,512","3,103,000",    262.97,0.19,3-00224-0005,107 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,D1    -ELEVATOR,      158,1960,"   149,499","7,015,988",     46.93,"2,330,689",15.59,"4,685,299","37,462,000",    250.58,0.13
3-00236-0011,69 PIERREPONT STREET,BROOKLYN HEIGHTS,D4    -ELEVATOR,       40,1905,"55,284","      1,817,738",     32.88,"        594,303",10.75,"      1,223,435","      9,783,000",    176.96,3-00265-0039,184 JORALEMON STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       24,1910,"27,732","862,188",     31.09,"287,026",10.35,"575,162","7,304,000",    263.38,0.28,3-00208-0310,204 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,D1    -ELEVATOR,       16,1925,"    14,120","467,513",     33.11,"149,954",10.62,"317,559","1,442,000",    102.12,0.15,3-00254-0006,141 JORALEMON STREET,BROOKLYN HEIGHTS,D3    -ELEVATOR,       47,1923,"    46,410","1,525,961",     32.88,"498,908",10.75,"1,027,053","8,837,000",    190.41,0.2
3-00236-0088,145 HICKS STREET,BROOKLYN HEIGHTS,D4    -ELEVATOR,      107,1935,"113,604","      4,482,814",     39.46,"      1,568,871",13.81,"      2,913,943","     23,355,000",    205.58,3-00235-0042,36 CLARK STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       29,1920,"24,570","969,532",     39.46,"494,840",20.14,"474,692","3,806,000",    154.90,0.06,3-00247-0001,222 HICKS STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       14,1900,"    11,800","516,604",     43.78,"129,092",10.94,"387,512","3,103,000",    262.97,0.18,3-00224-0005,107 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,D1    -ELEVATOR,      158,1960,"   149,499","7,015,988",     46.93,"2,330,689",15.59,"4,685,299","37,462,000",    250.58,0.16
3-00236-0133,148 HENRY STREET,BROOKLYN HEIGHTS,C6    -WALK-UP,       12,1840,"5,600","        219,576",     39.21,"         71,288",12.73,"        148,288","      1,189,000",    212.32,3-00230-0011,104 HICKS STREET,BROOKLYN HEIGHTS,C1    -WALK-UP,       14,1840,"6,750","263,520",     39.04,"86,130",12.76,"177,390","1,253,000",    185.63,0.16,3-00208-0203,150 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,C1    -WALK-UP,       12,1900,"     7,968","312,425",     39.21,"101,433",12.73,"210,993","2,376,000",    298.19,0.21,3-00210-0016,42 HICKS STREET,BROOKLYN HEIGHTS,C1    -WALK-UP,       12,1900,"     7,935","312,560",     39.39,"92,919",11.71,"219,641","2,487,000",    313.42,0.31
3-00238-0006,123 PIERREPONT STREET,BROOKLYN HEIGHTS,C6    -WALK-UP,       11,1849,"14,905","        604,696",     40.57,"        163,210",10.95,"        441,486","      3,538,000",    237.37,3-00238-0020,36 MONROE PLACE,BROOKLYN HEIGHTS,C1    -WALK-UP,       13,1851,"6,270","254,374",     40.57,"56,493",9.01,"197,881","1,586,000",    252.95,0.04,3-00247-0019,7 MONTAGUE TERRACE,BROOKLYN HEIGHTS,C1    -WALK-UP,       12,1880,"     7,434","347,316",     46.72,"69,434",9.34,"277,883","2,222,000",    298.90,0.26,3-00262-0008,75 STATE STREET,BROOKLYN HEIGHTS,C1    -WALK-UP,       14,1900,"     7,425","365,236",     49.19,"153,623",20.69,"211,613","2,023,000",    272.46,0.32
3-00238-0024,28 MONROE PLACE,BROOKLYN HEIGHTS,D4    -ELEVATOR,       35,1955,"27,294","        938,368",     34.38,"        253,288",9.28,"        685,079","      5,482,000",    200.85,3-00235-0046,136 HICKS STREET,BROOKLYN HEIGHTS,D9    -ELEVATOR,       46,1920,"48,414","1,683,355",     34.77,"740,250",15.29,"943,105","7,552,000",    155.99,0.18,3-00247-0028,74 MONTAGUE STREET,BROOKLYN HEIGHTS,D3    -ELEVATOR,       59,1912,"    54,640","2,078,506",     38.04,"601,040",11.00," 1,477,466","11,843,000",    216.75,0.24,3-00242-0031,70 PIERREPONT STREET,BROOKLYN HEIGHTS,D3    -ELEVATOR,       13,1925,"    12,696","358,916",     28.27,"124,675",9.82,"234,241","1,858,000",    146.35,0.13
3-00238-0026,22 MONROE PLACE,BROOKLYN HEIGHTS,D4    -ELEVATOR,       53,1928,"70,645","      2,787,652",     39.46,"        948,056",13.42,"      1,839,596","     14,747,000",    208.75,3-00235-0042,36 CLARK STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       29,1920,"24,570","969,532",     39.46,"494,840",20.14,"474,692","3,806,000",    154.90,0.18,3-00247-0001,222 HICKS STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       14,1900,"    11,800","516,604",     43.78,"129,092",10.94,"387,512","3,103,000",    262.97,0.23,3-00224-0005,107 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,D1    -ELEVATOR,      158,1960,"   149,499","7,015,988",     46.93,"2,330,689",15.59,"4,685,299","37,462,000",    250.58,0.27
3-00251-0055,19 GRACE COURT,BROOKLYN HEIGHTS,D4    -ELEVATOR,       33,1926,"41,028","      1,680,917",     40.97,"        521,056",12.70,"      1,159,862","      9,297,000",    226.60,3-00235-0042,36 CLARK STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       29,1920,"24,570","969,532",     39.46,"494,840",20.14,"474,692","3,806,000",    154.90,0.28,3-00247-0001,222 HICKS STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       14,1900,"    11,800","516,604",     43.78,"129,092",10.94,"387,512","3,103,000",    262.97,0.1,3-00224-0005,107 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,D1    -ELEVATOR,      158,1960,"   149,499","7,015,988",     46.93,"2,330,689",15.59,"4,685,299","37,462,000",    250.58,0.36
3-00254-0001,114 CLINTON STREET,BROOKLYN HEIGHTS,D4    -ELEVATOR,       38,1924,"48,138","      1,972,214",     40.97,"        571,879",11.88,"      1,400,334","     11,224,000",    233.16,3-00235-0042,36 CLARK STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       29,1920,"24,570","969,532",     39.46,"494,840",20.14,"474,692","3,806,000",    154.90,0.34,3-00247-0001,222 HICKS STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       14,1900,"    11,800","516,604",     43.78,"129,092",10.94,"387,512","3,103,000",    262.97,0.2,3-00224-0005,107 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,D1    -ELEVATOR,      158,1960,"   149,499","7,015,988",     46.93,"2,330,689",15.59,"4,685,299","37,462,000",    250.58,0.44
