Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles
1-00161-0001,196 PARK ROW,CIVIC CENTER,D4  -ELEVATOR,253,1965,"306,862","14,229,191",46.37,"5,336,330",17.39,"8,892,861","72,264,000",235.49,1-00274-0014,75 MONROE STREET,LOWER EAST SIDE,D3  -ELEVATOR,24,1900,"10,785","502,257",46.57,"175,256",16.25,"327,001","2,372,000",219.94,0.35,1-00220-0027,36 LAIGHT STREET,TRIBECA,D1  -ELEVATOR,14,1900,"26,712","1,233,026",46.16,"494,973",18.53,"738,053","6,789,000",254.16,0.7,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
1-00172-0001,364 BROADWAY,CHINATOWN,D0  -ELEVATOR,39,1920,"93,378","4,309,395",46.15,"1,330,637",14.25,"2,978,758","24,206,000",259.23,1-00175-0033,365 BROADWAY,CIVIC CENTER,D7  -ELEVATOR,30,1920,"63,600","2,935,140",46.15,"906,300",14.25,"2,028,840","16,488,000",259.25,0.04,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6  -ELEVATOR,151,1999,"139,697","8,147,129",58.32,"2,151,334",15.40,"5,995,795","48,131,000",344.54,0.1,1-00477-0001,80 VARICK STREET,SOHO,D5  -ELEVATOR,61,1920,"125,235","4,081,409",32.59,"2,021,293",16.14,"2,060,116","16,755,000",133.79,0.42
1-00178-0025,13 WHITE STREET,CIVIC CENTER,D4  -ELEVATOR,28,1890,"49,000","2,037,420",41.58,"605,150",12.35,"1,432,270","11,667,000",238.10,1-00175-0033,365 BROADWAY,CIVIC CENTER,D7  -ELEVATOR,30,1920,"63,600","2,434,608",38.28,"841,428",13.23,"1,593,180","16,488,000",259.25,0.13,1-00504-0031,110 SULLIVAN STREET,SOHO,D1  -ELEVATOR,60,1920,"38,880","1,637,626",42.12,"586,699",15.09,"1,050,926","9,267,000",238.35,0.51,1-00506-0016,30 CHARLTON STREET,SOHO,D1  -ELEVATOR,86,1920,"44,256","1,840,164",41.58,"546,562",12.35,"1,293,603","12,851,000",290.38,0.54
1-00179-0006,7 WORTH STREET,TRIBECA,D4  -ELEVATOR,13,1880,"47,520","2,193,048",46.15,"677,160",14.25,"1,515,888","12,318,000",259.22,1-00175-0033,365 BROADWAY,CIVIC CENTER,D7  -ELEVATOR,30,1920,"63,600","2,935,140",46.15,"906,300",14.25,"2,028,840","16,488,000",259.25,0.22,1-00504-0031,110 SULLIVAN STREET,SOHO,D1  -ELEVATOR,60,1920,"38,880","1,618,574",41.63,"480,946",12.37,"1,137,629","9,267,000",238.35,0.58,1-00506-0016,30 CHARLTON STREET,SOHO,D1  -ELEVATOR,86,1920,"44,256","2,216,783",50.09,"630,205",14.24,"1,586,578","12,851,000",290.38,0.6
1-00179-0011,1 WORTH STREET,TRIBECA,D4  -ELEVATOR,11,1915,"19,285","956,343",49.59,"325,145",16.86,"631,198","5,113,000",265.13,1-00488-0037,508 BROOME STREET,SOHO,D5  -ELEVATOR,14,1900,"21,598","1,071,045",49.59,"364,142",16.86,"706,903","5,726,000",265.12,0.47,1-00501-0006,423 WEST BROADWAY,SOHO,D7  -ELEVATOR,28,1910,"20,670","1,465,503",70.90,"322,452",15.60,"1,143,051","9,046,000",437.64,0.58,1-00220-0027,36 LAIGHT STREET,TRIBECA,D1  -ELEVATOR,14,1900,"26,712","1,255,731",47.01,"419,646",15.71,"836,086","6,789,000",254.16,0.27
1-00179-0017,84 HUDSON STREET,TRIBECA,D0  -ELEVATOR,38,1915,"51,748","2,633,456",50.89,"823,828",15.92,"1,809,628","14,646,000",283.03,1-00223-0013,440 WASHINGTON STREET,TRIBECA,D7  -ELEVATOR,50,2018,"51,979","2,949,288",56.74,"781,764",15.04,"2,167,524","17,667,000",339.89,0.38,1-00224-0001,450 WASHINGTON STREET,TRIBECA,D8  -ELEVATOR,286,2007,"305,542","15,549,032",50.89,"4,864,229",15.92,"10,684,804","95,344,000",312.05,0.42,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6  -ELEVATOR,1722,1983,"1,881,621","95,398,185",50.70,"27,791,542",14.77,"67,606,643",411274000,218.57,0.66
1-00179-0021,10 LEONARD STREET,TRIBECA,D0  -ELEVATOR,17,1920,"29,610","1,362,356",46.01,"477,905",16.14,"884,451","7,187,000",242.72,1-00223-0013,440 WASHINGTON STREET,TRIBECA,D7  -ELEVATOR,50,2018,"51,979","2,696,151",51.87,"793,200",15.26,"1,902,951","17,667,000",339.89,0.38,1-00224-0001,450 WASHINGTON STREET,TRIBECA,D8  -ELEVATOR,286,2007,"305,542","14,057,987",46.01,"4,931,448",16.14,"9,126,540","95,344,000",312.05,0.42,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6  -ELEVATOR,1722,1983,"1,881,621","86,234,690",45.83,"28,205,499",14.99,"58,029,192",411274000,218.57,0.66
1-00179-0056,100 HUDSON STREET,TRIBECA,D4  -ELEVATOR,45,1919,"73,954","3,794,580",51.31,"1,399,210",18.92,"2,395,370","19,371,000",261.93,1-00223-0013,440 WASHINGTON STREET,TRIBECA,D7  -ELEVATOR,50,2018,"51,979","2,908,745",55.96,"865,450",16.65,"2,043,294","17,667,000",339.89,0.35,1-00504-0031,110 SULLIVAN STREET,SOHO,D1  -ELEVATOR,60,1920,"38,880","1,994,933",51.31,"735,610",18.92,"1,259,323","9,267,000",238.35,0.55,1-00506-0016,30 CHARLTON STREET,SOHO,D1  -ELEVATOR,86,1920,"44,256","2,246,877",50.77,"716,505",16.19,"1,530,372","12,851,000",290.38,0.57
1-00187-0030,105 HUDSON STREET,TRIBECA,D0  -ELEVATOR,33,1920,"89,724","4,110,256",45.81,"1,253,444",13.97,"2,856,812","23,215,000",258.74,1-00223-0013,440 WASHINGTON STREET,TRIBECA,D7  -ELEVATOR,50,2018,"51,979","2,685,235",51.66,"680,405",13.09,"2,004,830","17,667,000",339.89,0.26,1-00224-0001,450 WASHINGTON STREET,TRIBECA,D8  -ELEVATOR,286,2007,"305,542","13,996,879",45.81,"4,268,422",13.97,"9,728,457","95,344,000",312.05,0.3,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6  -ELEVATOR,1722,1983,"1,881,621","85,858,366",45.63,"24,122,381",12.82,"61,735,985",411274000,218.57,0.69
1-00188-0001,55 NORTH MOORE STREET,TRIBECA,D4  -ELEVATOR,14,1915,"23,700","1,175,283",49.59,"399,582",16.86,"775,701","6,283,000",265.11,1-00488-0037,508 BROOME STREET,SOHO,D5  -ELEVATOR,14,1900,"21,598","1,071,045",49.59,"364,142",16.86,"706,903","5,726,000",265.12,0.43,1-00501-0006,423 WEST BROADWAY,SOHO,D7  -ELEVATOR,28,1910,"20,670","1,465,503",70.90,"322,452",15.60,"1,143,051","9,046,000",437.64,0.54,1-00220-0027,36 LAIGHT STREET,TRIBECA,D1  -ELEVATOR,14,1900,"26,712","1,255,731",47.01,"419,646",15.71,"836,086","6,789,000",254.16,0.17
