"","year","TRTID10","hinc","powner","pwht","pblk","pop","punemp","mrent","pcol","phs","str30old","hh10old","fhh","pov","pfb","pfb10","p18und","p60up"
"64",1970,36005011700,5987.57,0.17,0.28,0.66,1719.14,0.03,83.82,0.01,0.51,400.45,480.42,80.27,422.08,154,41,553.99,151.4
"65",1970,36005011800,7346.75,0.8,0.99,0,4840.66,0.02,112.19,0.04,0.45,729.59,700.29,36.13,403.24,401.15,41,1337.56,725
"66",1970,36005011900,4278.55,0.02,0.49,0.48,9540.01,0.07,83.23,0,0.41,2366.02,2118.77,760.75,3525.56,697.38,503.07,4380.08,452.6
"67",1970,36005012101,4697.53,0.03,0.64,0.32,6875,0.05,79.44,0,0.43,1893,1618,461,2318,655,435,3058,410
"68",1970,36005012102,4375,0.02,0.74,0.24,2741,0.04,79.46,0,0.44,746,738,166,977,310,165,1135,166
"69",1970,36005012300,3993.75,0.03,0.56,0.4,6353.03,0.06,76.09,0,0.42,1506.41,1591.22,510.81,2612.85,718.99,553.22,2864.71,394.19
"70",1970,36005012500,4326.39,0.05,0.53,0.41,6680,0.05,73.56,0,0.42,1718,1522,442,2516,496,313,3027,406
"71",1970,36005012701,3865.59,0.02,0.79,0.19,5617,0.05,73.65,0,0.45,1650,1292,320,2152,266,158,2271,321
"72",1970,36005012901,3917.85,0.02,0.48,0.45,6041,0.09,70.45,0,0.48,1769,1327,347,2534,531,355,2394,512
"73",1970,36005013000,10000,0.66,0.99,0,942,0.01,108.28,0.02,0.52,169,139,9,15,118,0,306,151
"74",1970,36005013100,3867.84,0.03,0.33,0.63,9334,0.06,73.01,0,0.43,2459,1657,699,3917,708,382,4145,754
"75",1970,36005013200,11592.82,0.7,0.99,0,5506.34,0.03,124.87,0.02,0.5,470.41,971.71,37.87,364.76,635.85,0,1935.44,591
"76",1970,36005013300,5939.22,0.1,0.27,0.69,9575,0.05,75.12,0.01,0.45,798,2014,406,2506,415,154,4055,838
"77",1970,36005013500,4978.92,0.05,0.14,0.85,5845,0.08,73.57,0.01,0.45,1114,1020,371,1700,242,59,2488,524
"78",1970,36005013800,10822.49,0.8,0.99,0.01,3561,0.01,162.62,0.01,0.51,604,607,30,275,506,76,1268,505
"79",1970,36005014100,4097.3,0.04,0.61,0.37,5674.38,0.07,71.3,0.01,0.42,1670.08,1371.15,441.59,2396.62,288.7,65,2517.45,420.8
"80",1970,36005014300,4773.58,0.05,0.42,0.56,1487.62,0.03,80.19,0,0.5,515.92,407.85,207.41,648.38,79.3,0,667.55,73.2
"81",1970,36005014400,6143.27,0.14,0.65,0.34,5321.97,0.05,82.79,0.02,0.45,189.7,903,175,1003.2,248,0,2164.77,590.34
